PULocationID,count
79,342880
234,296916
61,292642
161,291712
48,276509
132,264469
231,249714
148,235326
138,232923
170,225843
246,225079
164,222363
68,222106
181,221347
37,218666
230,214938
107,209921
249,204110
255,204044
7,196558
237,194741
162,191430
236,182869
42,180154
225,179807
144,178154
17,178038
141,169011
137,164916
229,164776
112,164546
256,164236
36,162316
239,160539
90,160448
142,160124
76,159952
140,158375
163,156789
238,156604
233,154914
80,154756
244,152359
113,148221
74,145944
114,145492
263,145309
100,145198
89,144271
188,143918
97,143404
129,140325
49,140040
75,139987
41,138168
158,135957
87,134521
39,130018
211,129990
145,129631
143,128845
186,128525
198,120501
50,120060
82,119608
25,118500
226,116966
262,113992
69,110761
232,108926
243,107933
13,107174
95,102288
35,100891
223,99881
33,99718
168,99541
166,99295
72,98612
4,95637
14,95538
26,93571
65,93205
130,92889
169,92464
247,92262
116,91106
66,88734
235,88561
92,88547
91,87827
18,84628
125,83648
189,81531
216,81358
159,80434
151,79124
62,78940
177,78261
213,76398
228,75990
167,74954
71,73936
260,71557
261,71421
119,70977
78,69397
254,68483
179,67172
241,66803
242,66412
43,66320
127,65801
174,64749
47,62503
220,62136
197,60470
22,59327
224,59219
165,59183
51,56729
210,55280
45,55257
40,54961
56,53689
123,53565
155,51862
205,51831
85,51786
136,50932
20,50496
152,50461
63,49653
146,49185
185,49164
21,48589
258,48404
106,47838
10,46690
88,46628
77,46466
208,45735
126,45557
209,43979
147,43408
173,43210
215,43021
157,42445
149,42002
182,41329
81,41326
212,40884
196,40821
102,40678
32,40591
227,40404
248,40272
60,39964
259,38613
250,37933
160,37502
133,37464
70,36632
195,36582
55,35606
94,35518
16,35295
29,34862
83,34486
191,34196
134,34081
121,34018
24,33804
171,33362
28,32764
3,32528
217,31730
257,31208
52,30981
135,30896
67,30338
200,29278
206,29140
218,26217
108,25796
219,24824
180,24185
131,23865
53,23425
192,23394
193,23351
150,23195
252,22772
139,21453
203,20879
178,20281
23,20182
124,19867
221,19456
11,19314
222,19119
73,18914
117,17722
183,17141
156,16992
86,16906
118,16590
98,16229
34,16195
122,15258
9,15114
54,14177
175,13894
190,13560
38,13007
153,12884
245,12590
15,12371
214,11429
202,11428
240,10875
115,10540
251,10475
101,9933
64,9632
19,9585
187,9362
31,9319
109,9301
172,8351
120,7740
6,7226
84,7021
201,6905
93,6246
44,5130
128,4876
176,4758
58,4256
5,4138
12,3939
204,3433
96,3184
59,3041
184,2848
1,2701
46,2492
57,2458
154,1734
111,1350
194,1249
8,895
253,695
30,587
99,528
27,421
207,296
110,22
2,22
199,8
105,2
